:START_ID,:END_ID,:TYPE,total_amount:float,transaction_count:int,avg_amount:float,first_timestamp:datetime,last_timestamp:datetime,time_window_hours:float,transaction_ids:string[]
ACC0123,ACC0085,TRANSFERRED_TO,15709,1,15709.0,2026-01-13T04:45:33,2026-01-13T04:45:33,0.0,TXN000486C2C1
ACC0123,ACC0064,TRANSFERRED_TO,6416,1,6416.0,2026-01-10T16:04:41,2026-01-10T16:04:41,0.0,TXN08F3B818FE
ACC0123,ACC0135,TRANSFERRED_TO,11381,1,11381.0,2026-01-12T07:06:19,2026-01-12T07:06:19,0.0,TXN1B52160F15
ACC0123,ACC0009,TRANSFERRED_TO,18764,1,18764.0,2026-01-11T05:26:49,2026-01-11T05:26:49,0.0,TXN1EBE10246E
ACC0123,ACC0021,TRANSFERRED_TO,17970,1,17970.0,2026-01-14T03:57:50,2026-01-14T03:57:50,0.0,TXN3800EFD46B
ACC0123,ACC0222,TRANSFERRED_TO,3374,1,3374.0,2026-01-11T14:16:41,2026-01-11T14:16:41,0.0,TXN3A4098F96D
ACC0123,ACC0163,TRANSFERRED_TO,22305,1,22305.0,2026-01-13T13:33:08,2026-01-13T13:33:08,0.0,TXN3B3591C6E8
ACC0123,ACC0233,TRANSFERRED_TO,9486,1,9486.0,2026-01-11T05:36:30,2026-01-11T05:36:30,0.0,TXN404B0771DD
ACC0123,ACC0179,TRANSFERRED_TO,1228,1,1228.0,2026-01-14T02:15:05,2026-01-14T02:15:05,0.0,TXN541209794E
ACC0123,ACC0220,TRANSFERRED_TO,6403,1,6403.0,2026-01-13T03:14:07,2026-01-13T03:14:07,0.0,TXN5DA8A27970
ACC0123,ACC0265,TRANSFERRED_TO,4347,1,4347.0,2026-01-13T22:43:38,2026-01-13T22:43:38,0.0,TXNA088745B8A
ACC0123,ACC0267,TRANSFERRED_TO,4322,1,4322.0,2026-01-12T09:50:47,2026-01-12T09:50:47,0.0,TXNF7DAFD7059
ACC0085,ACC0094,TRANSFERRED_TO,4389,1,4389.0,2026-01-12T15:57:17,2026-01-12T15:57:17,0.0,TXN14B3E0EA21
ACC0085,ACC0126,TRANSFERRED_TO,12563,1,12563.0,2026-01-14T02:59:24,2026-01-14T02:59:24,0.0,TXN1929688498
ACC0085,ACC0190,TRANSFERRED_TO,17969,1,17969.0,2026-01-12T12:43:47,2026-01-12T12:43:47,0.0,TXN3D09E1DD3E
ACC0085,ACC0164,TRANSFERRED_TO,4365,1,4365.0,2026-01-13T10:33:04,2026-01-13T10:33:04,0.0,TXN40298A09A5
ACC0085,ACC0027,TRANSFERRED_TO,10586,1,10586.0,2026-01-11T18:27:26,2026-01-11T18:27:26,0.0,TXN46829B329B
ACC0085,ACC0017,TRANSFERRED_TO,21922,1,21922.0,2026-01-11T11:14:46,2026-01-11T11:14:46,0.0,TXN5A58438853
